id,BTXARG1_1,SC630_1,SC0605_1,BTX642_1
MB0201,1,2,3,4
MB0290,1,2,3,4
MB0266,1,2,3,4
MB0064,1,2,3,4
MB0165,1,2,3,4
MB0252,1,2,3,4
MB0302,1,2,3,4
MB0210,1,2,3,4
MB0119,1,2,3,4
MB0009,1,2,3,4
MB0104,1,2,3,4
MB0025,1,2,3,4
MB0211,1,2,3,4
MB0303,1,2,3,4
MB0084,1,2,3,4
MB0176,1,2,3,4
MB0262,1,2,3,4
MB0289,1,2,3,4
MB0199,1,2,3,4
MB0103,1,2,3,4
MB0019,1,2,3,4
MB0120,1,2,3,4
MB0016,1,2,3,4
MB0224,1,2,3,4
MB0029,1,2,3,4
MB0093,1,2,3,4
MB0186,1,2,3,4
MB0276,1,2,3,4
MB0277,1,2,3,4
MB0187,1,2,3,4
MB0094,1,2,3,4
MB0028,1,2,3,4
MB0132,1,2,3,4
MB0235,1,2,3,4
MB0333,1,2,3,4
MB0435,1,2,3,4
MB0592,1,2,3,4
MB0148,1,2,3,4
MB0042,1,2,3,4
MB0097,1,2,3,4
MB0192,1,2,3,4
MB0281,1,2,3,4
MB0306,1,2,3,4
MB0214,1,2,3,4
MB0123,1,2,3,4
MB0225,1,2,3,4
MB0346,1,2,3,4
MB0453,1,2,3,4
MB0606,1,2,3,4
MB0133,1,2,3,4
MB0011,1,2,3,4
MB0106,1,2,3,4
MB0203,1,2,3,4
MB0293,1,2,3,4
MB0294,1,2,3,4
MB0204,1,2,3,4
MB0107,1,2,3,4
MB0212,1,2,3,4
MB0356,1,2,3,4
MB0468,1,2,3,4
MB0619,1,2,3,4
MB0121,1,2,3,4
MB0021,1,2,3,4
MB0122,1,2,3,4
MB0213,1,2,3,4
MB0305,1,2,3,4
MB0282,1,2,3,4
MB0193,1,2,3,4
MB0098,1,2,3,4
MB0202,1,2,3,4
MB0367,1,2,3,4
MB0490,1,2,3,4
MB0636,1,2,3,4
MB0105,1,2,3,4
MB0030,1,2,3,4
MB0134,1,2,3,4
MB0226,1,2,3,4
MB0044,1,2,3,4
MB0269,1,2,3,4
MB0180,1,2,3,4
MB0088,1,2,3,4
MB0191,1,2,3,4
MB0378,1,2,3,4
MB0507,1,2,3,4
MB0646,1,2,3,4
MB0096,1,2,3,4
MB0043,1,2,3,4
MB0149,1,2,3,4
MB0236,1,2,3,4
MB0257,1,2,3,4
MB0171,1,2,3,4
MB0074,1,2,3,4
MB0179,1,2,3,4
MB0391,1,2,3,4
MB0522,1,2,3,4
MB0655,1,2,3,4
MB0057,1,2,3,4
MB0160,1,2,3,4
MB0246,1,2,3,4
MB0031,1,2,3,4
MB0247,1,2,3,4
MB0161,1,2,3,4
MB0060,1,2,3,4
MB0169,1,2,3,4
MB0404,1,2,3,4
MB0557,1,2,3,4
MB0072,1,2,3,4
MB0073,1,2,3,4
MB0170,1,2,3,4
MB0256,1,2,3,4
MB0022,1,2,3,4
MB0237,1,2,3,4
MB0150,1,2,3,4
MB0307,1,2,3,4
MB0159,1,2,3,4
MB0420,1,2,3,4
MB0578,1,2,3,4
MB0056,1,2,3,4
MB0087,1,2,3,4
MB0267,1,2,3,4
MB0012,1,2,3,4
MB0227,1,2,3,4
MB0135,1,2,3,4
MB0321,1,2,3,4
MB0358,1,2,3,4
MB0475,1,2,3,4
MB0325,1,2,3,4
MB0426,1,2,3,4
MB0647,1,2,3,4
MB0508,1,2,3,4
MB0379,1,2,3,4
MB0380,1,2,3,4
MB0509,1,2,3,4
MB0336,1,2,3,4
MB0626,1,2,3,4
MB0347,1,2,3,4
MB0456,1,2,3,4
MB0337,1,2,3,4
MB0443,1,2,3,4
MB0637,1,2,3,4
MB0491,1,2,3,4
MB0368,1,2,3,4
MB0393,1,2,3,4
MB0524,1,2,3,4
MB0648,1,2,3,4
MB0324,1,2,3,4
MB0610,1,2,3,4
MB0334,1,2,3,4
MB0439,1,2,3,4
MB0458,1,2,3,4
MB0621,1,2,3,4
MB0473,1,2,3,4
MB0311,1,2,3,4
MB0409,1,2,3,4
MB0562,1,2,3,4
MB0657,1,2,3,4
MB0312,1,2,3,4
MB0596,1,2,3,4
MB0322,1,2,3,4
MB0423,1,2,3,4
MB0361,1,2,3,4
MB0479,1,2,3,4
MB0608,1,2,3,4
MB0454,1,2,3,4
MB0422,1,2,3,4
MB0668,1,2,3,4
MB0680,1,2,3,4
MB0581,1,2,3,4
MB0310,1,2,3,4
MB0410,1,2,3,4
MB0371,1,2,3,4
MB0498,1,2,3,4
MB0593,1,2,3,4
MB0437,1,2,3,4
MB0335,1,2,3,4
MB0438,1,2,3,4
MB0595,1,2,3,4
MB0678,1,2,3,4
MB0669,1,2,3,4
MB0567,1,2,3,4
MB0677,1,2,3,4
MB0394,1,2,3,4
MB0381,1,2,3,4
MB0512,1,2,3,4
MB0579,1,2,3,4
MB0421,1,2,3,4
MB0348,1,2,3,4
MB0455,1,2,3,4
MB0609,1,2,3,4
MB0370,1,2,3,4
MB0658,1,2,3,4
MB0526,1,2,3,4
MB0667,1,2,3,4
MB0396,1,2,3,4
MB0559,1,2,3,4
MB0408,1,2,3,4
MB0359,1,2,3,4
MB0474,1,2,3,4
MB0622,1,2,3,4
