Entry,Seed_Color_Rep1_CU,Seed_Color_Rep2_CU,Seed_Color_Rep1_FL,Seed_Color_Rep2_FL,Plant_Color_Rep1_CU,Plant_Color_Rep2_CU,Plant_Color_Rep1_FL,Plant_Colo_Rep2FL,AWN_Rep1_CU,AWN_Rep2CU,AWN_Rep1FL,AWN_Rep2FL
MB0415,R,R,R,R,P,P,P,P,N,N,N,N
MB0417,R,R,R,R,P,P,P,P,A,A,A,A
MB0418,R,R,NA,NA,P,P,P,P,N,N,N,N
MB0419,Y,Y,Y,Y,P,P,P,P,NA,NA,N,N
MB0420,R,R,R,R,P,P,P,P,N,N,NA,N
MB0421,NA,NA,R,NA,NA,NA,P,NA,NA,NA,N,NA
MB0422,R,R,R,R,P,P,P,P,N,N,N,N
MB0423,R,R,R,W,P,P,P,P,N,N,N,N
MB0426,R,R,R,R,P,P,P,P,A,A,A,A
MB0427,R,R,R,R,P,P,P,P,NA,A,NA,N
MB0428,R,R,R,R,P,P,P,P,N,N,N,N
MB0429,W,W,W,W,P,P,P,P,A,A,A,A
MB0432,R,R,R,R,P,P,P,P,A,A,A,A
MB0433,R,R,R,R,P,P,P,P,N,N,N,N
MB0435,Y,R,R,R,P,P,P,P,N,N,N,N
MB0437,R,R,R,R,P,P,P,P,N,N,N,N
MB0438,R,R,R,R,P,P,NA,P,A,A,A,A
MB0439,R,R,R,R,P,P,P,P,A,A,A,A
MB0443,R,R,R,R,P,P,P,P,N,NA,N,NA
MB0444,R,R,R,R,P,P,P,P,N,N,N,N
MB0446,R,R,R,R,P,P,P,P,A,A,A,A
MB0447,R,R,R,R,P,P,P,P,A,A,A,A
MB0450,R,R,R,R,P,P,P,P,A,A,A,A
MB0451,R,R,R,R,P,P,P,P,A,A,A,A
MB0453,R,R,R,R,P,P,P,P,A,A,A,A
MB0454,R,R,R,R,P,P,P,P,A,A,A,A
MB0455,R,R,R,R,P,P,P,P,A,A,A,NA
MB0456,R,R,R,R,P,P,P,P,NA,N,NA,N
MB0458,NA,NA,W,NA,P,P,P,P,N,N,N,N
MB0459,W,W,W,W,P,P,P,P,N,N,N,N
MB0461,W,W,W,W,P,P,P,P,N,N,N,N
MB0463,Y,Y,Y,Y,P,P,P,P,N,N,NA,NA
MB0466,R,R,R,R,P,P,P,P,A,A,A,A
MB0468,R,R,R,R,P,P,P,P,A,A,A,A
MB0473,R,R,R,R,P,P,P,P,A,A,A,A
MB0474,R,R,R,R,P,P,P,P,A,A,A,A
MB0475,R,R,R,R,P,P,P,P,N,N,NA,N
MB0479,R,R,R,R,NA,P,T,P,NA,A,A,A
MB0480,W,W,W,W,P,P,P,P,N,N,N,N
MB0481,R,R,R,R,P,P,P,P,N,N,N,N
MB0486,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0488,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0489,R,R,R,R,P,P,P,P,NA,NA,NA,NA
MB0490,R,R,R,R,P,P,P,P,N,N,N,N
MB0491,R,R,R,R,P,P,P,P,A,A,A,A
MB0494,R,R,R,R,P,P,P,P,N,N,N,N
MB0495,R,R,R,R,P,P,P,P,N,N,N,N
MB0498,R,R,R,R,P,P,P,P,N,N,N,N
MB0499,R,R,R,R,P,P,P,P,N,N,N,N
MB0501,R,R,R,R,P,P,P,P,N,N,N,N
MB0502,R,R,R,R,P,P,P,P,N,N,N,N
MB0504,W,W,W,W,P,NA,P,P,A,A,A,A
MB0506,R,R,R,R,P,P,P,P,N,N,N,N
MB0507,R,R,R,R,P,P,P,P,A,A,A,A
MB0508,W,W,W,W,P,P,P,P,N,NA,NA,NA
MB0509,R,R,R,R,P,NA,P,P,A,NA,A,A
MB0511,NA,NA,W,NA,NA,NA,P,NA,NA,NA,A,NA
MB0512,W,W,W,W,P,P,P,P,A,A,A,A
MB0514,R,R,R,R,P,P,P,P,N,NA,N,N
MB0516,W,W,W,W,P,P,P,P,N,N,N,N
MB0517,R,W,W,W,P,P,P,P,N,N,N,N
MB0521,W,W,W,W,NA,P,P,P,NA,NA,NA,NA
MB0522,R,NA,R,NA,P,NA,P,NA,A,NA,A,NA
MB0523,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0524,R,R,R,R,P,P,NA,P,A,A,A,A
MB0526,R,R,R,R,P,P,P,P,N,N,N,N
MB0532,R,R,R,R,P,P,P,P,A,A,A,A
MB0538,W,W,W,W,P,P,P,P,A,A,A,A
MB0547,R,R,R,R,P,P,P,P,A,A,A,A
MB0551,W,W,W,W,P,P,P,P,A,A,A,A
MB0552,W,W,W,W,P,P,P,P,N,N,N,N
MB0554,W,W,W,W,P,P,P,P,N,N,N,N
MB0557,R,R,R,R,P,P,P,P,NA,N,NA,N
MB0559,W,W,W,W,P,P,P,P,A,NA,NA,NA
MB0562,Y,Y,Y,Y,P,P,P,P,A,A,A,N
MB0567,R,R,R,R,P,P,P,P,N,N,N,N
MB0568,R,R,R,R,P,P,P,P,N,N,N,N
MB0571,R,R,R,R,P,P,P,P,N,N,N,N
MB0573,R,R,R,R,P,P,P,P,N,N,N,N
MB0574,R,NA,R,NA,P,P,P,P,N,NA,N,N
MB0575,R,R,R,R,P,P,P,P,N,N,N,N
MB0577,R,R,R,R,NA,P,P,P,NA,A,A,A
MB0578,R,R,R,R,P,P,P,P,N,NA,N,NA
MB0579,R,R,R,R,P,P,P,P,N,N,N,N
MB0581,W,W,W,W,P,P,P,P,A,A,A,A
MB0582,R,R,R,R,P,P,P,P,N,N,N,N
MB0583,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0584,R,NA,R,R,P,NA,P,P,A,NA,A,A
MB0586,R,R,R,R,P,P,P,P,A,NA,A,A
MB0589,R,NA,R,R,T,NA,T,T,A,NA,A,A
MB0591,NA,R,R,R,NA,P,P,P,NA,A,A,A
MB0592,NA,W,W,W,NA,T,T,T,NA,A,A,A
MB0593,NA,NA,R,R,NA,NA,NA,P,NA,NA,N,N
MB0595,NA,W,W,W,NA,T,T,T,NA,A,A,A
MB0596,NA,W,NA,W,NA,T,T,T,NA,A,A,A
MB0597,NA,Y,Y,Y,NA,T,T,T,NA,N,N,N
MB0598,NA,R,R,R,NA,P,P,P,NA,A,A,A
MB0600,R,R,R,R,P,P,P,P,A,A,A,A
MB0603,NA,NA,NA,NA,NA,NA,P,P,NA,NA,A,A
MB0604,W,W,W,W,T,T,T,T,N,N,N,N
MB0605,Y,Y,Y,Y,P,T,T,T,A,A,A,A
MB0606,R,R,R,R,P,P,P,P,A,A,A,A
MB0608,NA,R,R,R,NA,T,T,T,NA,A,A,A
MB0609,NA,R,R,R,NA,P,P,P,NA,A,A,A
MB0610,R,R,R,R,P,P,P,P,N,N,N,N
MB0611,R,R,R,R,P,P,P,P,N,N,N,N
MB0612,R,R,R,R,2,2,P,P,N,N,N,N
MB0613,W,W,W,W,T,T,T,T,A,A,A,A
MB0614,R,R,R,R,2,P,NA,P,A,A,A,A
MB0617,R,NA,R,NA,P,NA,NA,P,N,NA,N,N
MB0618,NA,R,R,R,T,P,P,P,NA,A,A,A
MB0619,R,R,R,R,P,P,P,NA,A,A,A,A
MB0621,R,R,R,NA,P,P,P,P,A,A,A,A
MB0622,W,W,W,W,P,P,P,P,A,A,A,A
MB0626,NA,W,NA,W,NA,P,P,P,NA,A,A,A
MB0628,R,NA,R,R,P,NA,P,P,A,NA,A,A
MB0630,R,R,R,R,P,P,P,P,A,A,A,A
MB0633,R,R,R,R,P,P,P,P,A,A,A,A
MB0634,NA,R,R,R,NA,P,P,P,NA,A,A,A
MB0635,R,R,R,R,P,NA,P,P,A,A,A,A
MB0636,R,R,R,R,T,T,T,T,N,N,N,N
MB0637,R,R,R,R,T,NA,T,T,N,N,N,N
MB0638,R,R,R,R,2,P,NA,P,A,A,N,A
MB0639,NA,NA,NA,R,NA,NA,P,P,NA,NA,A,A
MB0640,R,R,R,R,P,P,P,P,A,A,A,A
MB0641,NA,R,NA,R,NA,T,T,T,NA,A,NA,A
MB0642,R,R,R,R,T,T,T,T,A,A,A,A
MB0643,R,NA,R,R,T,NA,T,T,A,NA,A,A
MB0644,R,R,R,R,T,T,T,T,A,A,A,A
MB0645,R,R,R,R,P,P,P,P,A,A,A,NA
MB0646,R,R,R,R,P,NA,P,P,A,A,A,A
MB0647,R,R,R,R,T,T,T,T,A,A,A,A
MB0648,R,R,R,R,P,T,T,T,A,A,A,A
MB0649,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0650,NA,R,R,R,P,P,P,P,NA,N,A,A
MB0651,R,R,R,R,P,P,P,P,N,N,N,N
MB0652,NA,R,R,R,T,T,T,T,NA,A,A,A
MB0653,NA,R,R,R,NA,T,T,T,NA,A,NA,A
MB0654,R,R,R,R,T,T,T,T,A,A,A,A
MB0655,R,R,R,R,P,P,P,P,NA,N,N,NA
MB0656,R,R,R,R,P,P,P,P,A,A,A,A
MB0657,R,R,R,R,P,P,P,P,N,N,N,N
MB0658,R,R,R,R,P,P,P,P,A,A,NA,A
MB0659,R,R,R,R,P,P,P,P,N,N,N,N
MB0660,R,R,R,R,P,P,P,P,N,N,N,N
MB0661,R,NA,R,R,P,NA,P,P,NA,NA,N,N
MB0662,NA,NA,Y,Y,NA,NA,T,T,NA,NA,N,NA
MB0664,NA,NA,R,R,NA,NA,T,T,NA,NA,A,A
MB0665,W,W,NA,W,T,T,T,T,A,A,A,A
MB0666,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0667,W,W,W,W,T,T,T,T,A,A,A,A
MB0668,W,W,W,W,P,P,P,P,A,A,A,A
MB0669,W,W,W,W,P,P,P,P,A,A,A,A
MB0670,R,R,R,R,P,P,P,P,A,A,A,A
MB0671,R,R,R,R,P,P,P,P,A,A,A,A
MB0672,R,R,R,R,P,P,P,P,A,A,A,A
MB0673,NA,R,R,R,NA,P,P,P,NA,A,A,A
MB0674,NA,W,W,W,NA,T,P,P,NA,A,A,A
MB0675,R,R,NA,R,P,P,P,P,A,A,A,A
MB0676,W,W,W,W,T,P,P,P,A,A,A,A
MB0677,NA,NA,NA,NA,P,NA,P,P,A,NA,A,A
MB0678,NA,NA,NA,NA,2,2,NA,P,A,A,A,A
MB0680,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0681,W,W,W,W,P,P,P,P,A,A,A,A
MB0682,R,R,R,R,P,2,P,P,A,A,A,A
MB0683,R,R,R,R,T,T,T,T,A,A,A,A
MB0685,NA,W,W,W,NA,P,P,P,NA,A,A,A
MB0686,Y,Y,Y,Y,P,P,P,P,A,A,A,A
MB0687,NA,R,R,NA,NA,P,P,P,NA,N,N,N
MB0689,R,R,R,R,P,P,P,P,A,A,A,A
MB0690,R,R,R,R,P,P,P,P,A,A,A,A
MB0691,R,R,R,R,P,P,P,P,A,A,A,A
MB0692,R,R,NA,NA,P,P,P,P,A,A,A,A
MB0693,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0696,R,R,R,R,T,T,T,T,A,A,A,A
MB0697,R,NA,R,NA,T,NA,P,NA,N,NA,N,NA
MB0698,R,R,R,R,P,P,P,P,A,A,A,A
MB0699,R,R,R,R,P,P,P,P,N,N,N,N
MB0700,R,R,R,R,2,2,NA,P,A,A,A,A
MB0701,R,R,R,NA,T,T,T,T,A,A,A,A
MB0702,R,R,R,R,P,P,P,P,A,A,A,A
MB0703,R,R,R,R,P,P,P,P,A,A,A,A
MB0705,R,R,R,R,P,P,P,P,A,A,A,A
MB0706,R,R,R,R,P,P,P,P,A,A,A,A
MB0707,R,R,R,R,P,P,P,P,A,A,A,A
MB0708,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0709,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0710,R,R,R,R,T,T,P,T,A,A,A,A
MB0712,R,R,R,R,T,T,T,T,A,A,A,A
MB0713,R,R,R,R,P,P,NA,P,N,N,N,N
MB0714,R,R,R,R,P,P,P,P,N,N,N,N
MB0717,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0718,R,R,NA,R,P,P,P,P,A,A,A,A
MB0719,R,R,R,R,2,2,P,P,A,A,A,A
MB0720,W,W,W,W,P,P,P,P,A,A,A,A
MB0721,R,R,R,R,2,2,P,NA,A,A,A,A
MB0722,R,R,R,R,2,P,P,P,A,A,A,A
MB0723,R,R,R,R,P,P,T,T,N,N,N,N
MB0724,R,R,R,R,P,P,P,P,A,N,N,A
MB0725,NA,NA,NA,NA,P,P,NA,P,A,A,A,A
MB0726,R,R,R,R,T,T,T,T,A,A,A,A
MB0727,R,NA,R,R,P,NA,P,P,A,NA,A,A
MB0728,R,R,NA,R,P,P,P,P,A,A,A,A
MB0729,NA,NA,R,NA,NA,NA,P,NA,NA,NA,N,NA
MB0732,R,R,R,R,2,P,P,P,A,A,A,A
MB0733,R,NA,R,R,P,P,P,P,A,NA,A,A
MB0734,R,R,R,R,T,T,T,T,A,A,A,A
MB0738,R,NA,R,R,P,T,P,P,A,NA,A,A
MB0740,R,R,R,R,P,P,NA,P,A,A,A,A
MB0742,R,R,R,R,P,P,P,P,N,N,N,N
MB0743,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0744,R,R,R,R,T,T,T,T,A,A,A,A
MB0745,R,R,R,R,T,T,T,T,A,A,N,A
MB0746,R,R,R,R,T,T,T,T,A,A,A,A
MB0749,R,R,NA,R,P,P,P,P,A,A,A,A
MB0756,W,NA,W,NA,P,NA,P,NA,A,NA,A,NA
MB0757,W,W,W,W,P,P,P,P,A,A,A,A
MB0760,R,R,R,R,P,P,P,P,A,A,A,A
MB0761,R,R,R,R,P,P,P,P,A,A,A,A
MB0762,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0770,R,R,R,NA,P,P,P,P,N,N,N,N
MB0771,R,R,R,R,P,P,P,P,A,A,A,A
MB0775,R,NA,R,NA,P,NA,P,NA,A,NA,A,NA
MB0779,NA,NA,R,NA,NA,NA,P,NA,NA,NA,A,NA
MB0781,NA,NA,R,NA,NA,NA,P,NA,NA,NA,A,NA
MB0782,R,R,R,R,P,P,P,P,A,A,A,A
MB0783,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0785,W,W,W,W,P,P,P,P,A,A,A,A
MB0786,R,NA,R,R,P,P,P,P,A,NA,A,A
MB0787,W,W,W,W,P,P,P,P,A,A,A,A
MB0788,W,W,W,W,P,P,P,P,A,A,A,A
MB0792,R,R,R,R,P,P,P,P,A,A,A,A
MB0793,R,R,R,R,P,P,P,P,A,A,A,A
MB0794,R,R,R,R,P,P,P,P,A,A,A,A
MB0795,R,NA,R,NA,P,NA,P,NA,A,NA,A,NA
MB0797,R,R,R,R,P,P,P,P,A,A,A,A
MB0798,R,R,R,R,P,P,P,P,A,A,A,A
MB0799,R,R,R,R,P,P,P,P,A,A,A,A
MB0800,R,R,R,R,P,P,P,P,A,A,A,A
MB0801,R,R,R,R,P,P,P,P,A,A,A,A
MB0803,R,R,R,R,P,P,P,P,A,A,A,A
MB0804,R,R,R,R,P,P,P,P,A,A,A,A
MB0805,NA,NA,NA,NA,P,NA,P,NA,A,NA,A,NA
MB0806,R,R,R,R,P,P,P,P,A,A,A,A
MB0807,R,R,R,R,P,P,P,P,A,A,A,A
MB0809,R,R,R,R,P,P,P,P,A,A,A,A
MB0810,W,W,W,W,P,P,P,P,A,A,A,A
MB0811,R,R,NA,R,P,P,P,P,A,A,A,A
MB0813,W,W,W,W,P,P,P,P,A,A,A,A
MB0814,R,R,R,R,P,P,P,P,A,A,A,A
MB0815,R,NA,R,NA,P,NA,P,P,A,NA,A,A
MB0816,R,R,R,R,P,P,P,P,A,A,A,A
MB0817,R,R,R,R,P,P,P,P,A,A,A,A
MB0818,NA,NA,NA,NA,P,NA,P,NA,A,NA,NA,NA
MB0819,R,NA,R,NA,P,NA,P,NA,N,NA,N,NA
MB0820,R,R,R,R,P,P,P,P,A,A,NA,A
MB0821,W,W,W,W,P,P,P,P,A,A,A,A
MB0822,W,W,W,W,P,P,P,P,A,A,A,A
MB0825,R,R,R,R,P,P,P,P,N,N,N,N
MB0826,R,R,R,R,P,P,P,P,A,A,A,A
MB0827,R,R,R,R,P,P,P,P,A,A,A,A
MB0830,W,NA,W,NA,P,NA,P,NA,A,NA,A,NA
MB0831,R,R,R,R,P,P,T,P,A,A,A,A
MB0832,R,R,R,R,P,P,P,P,A,A,A,A
MB0833,R,R,R,R,P,P,P,P,A,A,A,A
MB0834,W,W,W,W,P,P,P,P,A,A,A,A
MB0836,W,W,W,W,P,P,P,P,A,A,A,A
MB0837,W,W,W,W,P,P,P,P,A,A,A,A
MB0838,NA,R,NA,R,P,P,P,P,NA,A,A,A
MB0839,R,R,R,R,P,P,P,P,A,A,A,A
MB0847,W,W,W,W,P,P,P,P,A,A,A,A
MB0848,W,W,W,W,P,P,P,P,A,A,A,A
MB0849,W,W,W,W,P,P,P,P,A,A,A,A
MB0851,R,R,R,R,P,P,P,P,A,A,A,A
MB0853,W,W,W,W,P,P,P,P,A,A,A,A
MB0854,W,NA,W,W,P,NA,P,P,A,NA,A,A
MB0859,W,W,W,W,P,P,P,P,A,A,A,A
MB0861,W,W,W,W,P,P,P,P,A,A,A,A
MB0862,NA,R,R,R,P,P,P,P,NA,NA,A,A
MB0867,W,W,W,W,P,P,P,P,N,N,N,N
MB0870,R,R,R,R,P,P,P,P,A,A,A,A
MB0871,R,R,R,R,P,P,P,P,A,A,A,A
MB0872,R,R,R,R,P,P,P,P,A,A,A,A
MB0875,W,NA,W,W,P,NA,T,P,A,NA,A,A
MB0885,W,W,W,W,P,P,P,P,A,A,A,A
MB0887,W,W,W,W,P,P,P,P,A,A,A,NA
MB0888,W,W,W,W,P,P,P,P,A,A,A,A
MB0889,R,R,R,R,P,P,P,P,A,A,A,A
MB0891,R,R,R,R,P,P,P,P,A,A,A,A
MB0893,W,W,W,W,P,P,P,P,A,A,A,A
MB0896,W,W,W,W,P,P,P,P,N,N,N,N
