Entry,Seed_Color_Rep1_CU,Seed_Color_Rep2_CU,Seed_Color_Rep1_FL,Seed_Color_Rep2_FL,Plant_Color_Rep1_CU,Plant_Color_Rep2_CU,Plant_Color_Rep1_FL,Plant_Colo_Rep2FL,AWN_Rep1_CU,AWN_Rep2CU,AWN_Rep1FL,AWN_Rep2FL
MB0897,W,W,W,W,P,P,P,P,A,A,A,A
MB0899,R,R,R,R,P,P,P,P,A,A,A,A
MB0900,R,R,R,R,P,P,P,P,A,A,A,A
MB0901,W,W,W,W,P,P,P,P,A,A,A,A
MB0902,W,W,W,W,P,P,P,P,A,A,A,A
MB0903,R,R,R,R,P,P,P,P,A,A,A,A
MB0904,R,R,R,R,P,P,P,P,A,A,A,A
MB0905,R,NA,R,R,P,NA,P,P,A,NA,A,A
MB0906,W,NA,W,W,NA,NA,P,P,A,NA,A,A
MB0907,R,R,R,R,P,P,P,P,A,A,A,A
MB0908,R,R,R,R,P,P,P,P,A,A,A,A
MB0909,R,R,R,R,P,P,P,P,A,A,A,A
MB0911,R,R,R,R,P,P,P,P,A,A,A,A
MB0912,R,R,R,R,P,P,P,P,A,A,A,A
MB0913,R,R,R,R,P,P,P,P,A,A,A,A
MB0914,R,NA,R,R,P,NA,P,P,A,NA,A,A
MB0916,W,W,W,W,P,P,P,P,N,N,N,N
MB0917,W,W,W,W,P,P,P,P,N,N,N,N
MB0918,W,W,W,W,NA,P,P,P,N,N,N,N
MB0920,W,W,W,W,P,P,P,P,A,A,A,A
MB0921,R,R,R,R,P,P,P,P,A,A,A,A
MB0922,W,W,W,W,P,P,P,P,A,A,A,A
MB0923,W,W,W,W,P,P,P,P,A,A,A,A
MB0926,R,R,R,R,P,P,P,P,A,A,A,A
MB0928,R,R,R,R,P,P,P,P,A,A,A,A
MB0929,R,R,R,R,P,P,P,P,A,A,A,A
MB0930,R,R,R,R,P,P,P,P,A,A,A,A
MB0931,R,R,R,R,P,P,P,P,A,A,A,A
MB0933,W,W,W,W,P,P,P,P,A,A,A,A
MB0934,NA,W,W,W,P,P,P,P,NA,A,A,A
MB0935,W,W,W,W,P,P,P,P,A,A,A,A
MB0936,W,W,W,W,P,P,P,P,A,A,A,A
MB0937,W,W,W,W,P,P,P,P,A,A,A,A
MB0940,R,R,R,R,P,P,P,P,A,A,A,A
MB0941,R,R,R,R,T,T,T,T,A,A,A,A
MB0942,W,NA,W,NA,P,NA,P,NA,A,NA,A,NA
MB0943,W,W,W,W,P,P,P,P,A,A,A,A
MB0944,W,W,W,W,P,P,P,P,A,A,A,A
MB0945,W,NA,W,NA,P,NA,P,NA,A,NA,A,NA
MB0946,R,R,R,R,P,P,P,P,A,A,A,A
MB0947,NA,NA,W,W,NA,NA,P,P,NA,NA,A,A
MB0948,W,NA,W,NA,P,NA,P,NA,A,NA,A,NA
MB0949,W,W,W,W,P,P,P,P,A,A,A,A
MB0950,NA,NA,W,NA,NA,NA,P,NA,NA,NA,A,NA
MB0951,W,W,W,W,P,P,P,P,A,A,A,A
MB0955,R,R,R,R,P,P,P,P,A,A,A,A
MB0956,R,R,R,R,P,P,P,P,A,A,A,A
MB0957,R,R,R,R,P,P,P,P,A,A,A,A
MB0959,R,R,R,R,P,P,P,P,A,A,A,A
MB0960,R,R,R,R,P,P,P,P,A,A,A,A
MB0962,W,W,W,W,P,P,P,P,A,A,A,A
MB0963,W,W,W,W,P,P,P,P,A,A,A,A
